"Number";"Name";"Deployment State";"Incident State";"Vendor";"Model";"Description";"Type";"Owner";"SerialNumber";"WarrantyExpirationDate";"InstallDate";"Note"
"1423000031";"13097";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"EQUIPAMENTO USADO EM BOM ESTADO.";"Monitor";"";"BROGHGTCTVB006BB6BS15JLA00";"2018-02-20";"2018-02-14";
"1423000032";"130090";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BBSOIHLA00";"2018-02-20";"2018-02-14";
"1423000033";"130089";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"EQUIPAMENTO USADO EM BOM ESTADO.";"Monitor";"";"BROGHGTCTVB006BSOIJLA00";"2018-02-20";"2018-02-14";
"1423000034";"130100";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS1PPLA00";"2018-02-20";"2018-02-14";
"1423000035";"130099";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS1LBLA00";"2018-02-20";"2018-02-14";
"1423000036";"130102";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS0SILA00";"2018-02-20";"2018-02-14";
"1423000037";"130101";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS0JGLA00";"2018-02-20";"2018-02-14";
"1423000038";"130104";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BSOF7LA00";"2018-02-20";"2018-02-14";
"1423000039";"130103";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS2A3LA00";"2018-02-20";"2018-02-14";
"1423000040";"130096";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS09CLA00";"2018-02-20";"2018-02-14";
"1423000041";"130095";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS09BLA00";"2018-02-20";"2018-02-14";
"1423000042";"130013";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB007107QLA00";"2018-02-20";"2018-02-14";
"1423000043";"130012";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB0071923HLA00";"2018-02-21";"2018-02-14";
"1423000044";"130094";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS1Q6LA00";"2018-02-21";"2018-02-14";
"1423000045";"130093";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS0LQLA00";"2018-02-21";"2018-02-14";
"1423000046";"129978";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BBU39LA00";"2018-02-21";"2018-02-14";
"1423000047";"129979";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB447LA00";"2018-02-21";"2018-02-14";
"1423000048";"130008";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB447LA00";"2018-02-21";"2018-02-14";
"1423000049";"130009";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB0071906RLA00";"2018-02-21";"2018-02-14";
"1423000050";"129994";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB007191S6LA00";"2018-02-21";"2018-02-14";
"1423000051";"129995";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB441LA00";"2018-02-21";"2018-02-14";
"1423000052";"130083";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS29MLA00";"2018-02-21";"2018-02-14";
"1423000053";"129677";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS20BLA00";"2018-02-21";"2018-02-14";
"1423000054";"130092";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS0JOLA00";"2018-02-21";"2018-02-14";
"1423000055";"130091";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS1QJLA00";"2018-02-21";"2018-02-14";
"1423000056";"130010";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB0071907CLA00";"2018-02-21";"2018-02-14";
"1423000057";"130011";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BB3VOLA00";"2018-02-21";"2018-02-14";
"1423000058";"129989";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB0071906MLA00";"2018-02-21";"2018-02-14";
"1423000059";"129988";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB007191ECLA00";"2018-02-21";"2018-02-14";
"1423000060";"130015";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB0071933FLA00";"2018-02-21";"2018-02-14";
"1423000061";"130014";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB007191VHLA00";"2018-02-21";"2018-02-14";
"1423000062";"130028";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB007193KILA00";"2018-02-21";"2018-02-14";
"1423000063";"130029";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"";"BROGHGTCTVB006BB3VULA00";"2018-02-21";"2018-02-14";
"1423000064";"130065";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BSOSHFA00";"2018-02-21";"2018-02-14";
"1423000065";"130066";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS05ALA00";"2018-02-21";"2018-02-14";
"1423000066";"130071";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB006BS1U4LA00";"2018-02-21";"2018-02-14";
"1423000067";"130072";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB006BS1USLA00";"2018-02-21";"2018-02-14";
"1423000068";"130057";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB006BS04OLA00";"2018-02-21";"2018-02-14";
"1423000069";"130058";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"";"BROGHGTCTVB006BS1JALA00";"2018-02-21";"2018-02-14";
"1423000070";"130067";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS0HBLA00";"2018-02-21";"2018-02-14";
"1423000071";"130918";"Estoque";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"estoque@callink.com.br";"BROGHGTCTVB006BS09OLA00";"2018-02-21";"2018-02-14";
"1423000072";"125890";"Production";"Equipamento Usado - em bom estado";"HP";"HP";"";"Monitor";"";"BRG64200JR";"2018-02-21";"2018-02-14";
"1423000073";"115972";"Production";"Equipamento Usado - em bom estado";"LG";"E2011";"";"Monitor";"";"406SPHG13177";"2018-02-21";"2018-02-14";
"1423000074";"111942";"Production";"Equipamento Usado - em bom estado";"SAMSUNG";"B1940W";"";"Monitor";"";"0274HQAC506152L";"2018-02-21";"2018-02-14";
"1423000075";"130919";"Production";"Equipamento Usado - em bom estado";"SAMSUNG";"BX1940";"";"Monitor";"";"0305HQCC600027R";"2018-02-21";"2018-02-14";
"1423000076";"128960";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG64200GY";"2018-02-21";"2018-03-21";
"1423000077";"130920";"Production";"Equipamento Usado - em bom estado";"SAMSUNG";"BX1940";"";"Monitor";"";"0305HQBC600033A";"2018-02-21";"2018-02-14";
"1423000105";"131545";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQAC506467F";"2018-03-14";"2018-03-14";
"1423000106";"131544";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQAC506309M";"2018-03-14";"2018-03-14";
"1423000107";"131573";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQABC01887P";"2018-03-14";"2018-03-14";
"1423000108";"131574";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQAC502666W";"2018-03-14";"2018-03-14";
"1423000109";"131575";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQDBB00108B";"2018-03-14";"2018-03-14";
"1423000110";"131551";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQAC502585R";"2018-03-14";"2018-03-14";
"1423000111";"131546";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQAC502583E";"2018-03-14";"2018-03-14";
"1423000112";"131547";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQAC503802K";"2018-03-14";"2018-03-14";
"1423000113";"131548";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQAC503560E";"2018-03-14";"2018-03-14";
"1423000114";"131549";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQAC502713P";"2018-03-14";"2018-03-14";
"1423000115";"131550";"Maintenance";"Equipamento Usado - com avarias";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQAC506282P";"2018-03-14";"2018-03-14";
"1423000116";"131583";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQABB02694P";"2018-03-14";"2018-03-14";
"1423000117";"131584";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQDC500287E";"2018-03-14";"2018-03-14";
"1423000118";"131582";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQBBB00256T";"2018-03-14";"2018-03-14";
"1423000119";"105861";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1930N";"";"Monitor";"estoque@callink.com.br";"PU19HXOZ900258X";"2018-03-14";"2018-03-14";
"1423000120";"131585";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQCC201065D";"2018-03-14";"2018-03-14";
"1423000121";"131586";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQABB00346T";"2018-03-14";"2018-03-14";
"1423000122";"131587";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQDBB00293Y";"2018-03-14";"2018-03-14";
"1423000123";"131588";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQABB01195P";"2018-03-14";"2018-03-14";
"1423000124";"131589";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"estoque@callink.com.br";"0274HQAC502352A";"2018-03-14";"2018-03-14";
"1423000125";"115943";"Estoque";"Equipamento Usado - em bom estado";"LG";"E2011P";"";"Monitor";"estoque@callink.com.br";"406SPNY1B687";"2018-03-14";"2018-03-14";
"1423000126";"126626";"Production";"Equipamento Usado - em bom estado";"LG";"20M35P";"EQUIPAMENTO USADO - EM BOM ESTADO";"Monitor";"";"409SPDT1R554";"2018-03-14";"2018-03-14";""
"1423000127";"104809";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1930N";"";"Monitor";"estoque@callink.com.br";"PU19HXOZA01146P";"2018-03-14";"2018-03-14";
"1423000128";"125919";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG64200K2";"2018-03-14";"2018-03-21";
"1423000129";"125872";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG64200K4";"2018-03-14";"2018-03-14";
"1423000130";"125846";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG642008B";"2018-03-14";"2018-03-14";
"1423000131";"125886";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG64200K9";"2018-03-14";"2018-03-14";
"1423000132";"131590";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG727026L";"2018-03-14";"2018-03-14";
"1423000133";"126595";"Production";"Equipamento Usado - em bom estado";"LG";"20M35P";"";"Monitor";"";"409SPWQ1T633";"2018-03-14";"2018-03-14";
"1423000134";"105403";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1930N";"";"Monitor";"estoque@callink.com.br";"PU19HXHZ403241E";"2018-03-14";"2018-03-14";
"1423000135";"104263";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1930N";"";"Monitor";"estoque@callink.com.br";"PU19HXNZA01213N";"2018-03-14";"2018-03-14";
"1423000136";"112648";"Estoque";"Equipamento Usado - em bom estado";"LG";"E2011P";"";"Monitor";"estoque@callink.com.br";"306SPCA0Q035";"2018-03-14";"2018-03-14";
"1423000137";"122494";"Estoque";"Equipamento Usado - em bom estado";"HP";"V206HZ";"";"Monitor";"estoque@callink.com.br";"BRG50604NX";"2018-03-14";"2018-03-14";
"1423000138";"131698";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQDBB00094F";"2018-03-14";"2018-03-14";
"1423000139";"131658";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQAC506374X";"2018-03-14";"2018-03-14";
"1423000140";"131657";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQAC506514B";"2018-03-14";"2018-03-14";
"1423000141";"105366";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1930N";"";"Monitor";"estoque@callink.com.br";"PU19HXHZ403357E";"2018-03-14";"2018-03-14";
"1423000142";"105163";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1930N";"";"Monitor";"estoque@callink.com.br";"0118HQAZ504912R";"2018-03-14";"2018-03-14";
"1423000143";"108228";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1930N";"";"Monitor";"estoque@callink.com.br";"PU19HXOZ911096H";"2018-03-14";"2018-03-14";
"1423000144";"105143";"Estoque";"Equipamento Usado - em bom estado";"SANSUNG";"B1930N";"";"Monitor";"estoque@callink.com.br";"0118HQAZ505364J";"2018-03-14";"2018-03-14";
"1423000145";"128341";"Production";"Equipamento Usado - em bom estado";"HP";"V203HZ";"";"Monitor";"";"BRC602009R";"2018-03-14";"2018-03-14";
"1423000146";"131591";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQCC201184W";"2018-03-14";"2018-03-14";
"1423000147";"131592";"Production";"Equipamento Usado - em bom estado";"DELL";"P2016T";"";"Monitor";"";"BROGHGTCTVB006BSOFLTA00";"2018-03-14";"2018-03-14";
"1423000148";"121922";"Production";"Equipamento Usado - em bom estado";"LG";"20M35P";"";"Monitor";"";"409SPQJ07828";"2018-03-14";"2018-03-14";
"1423000149";"115937";"Production";"Equipamento Usado - em bom estado";"LG";"E2011P";"";"Monitor";"";"406SPDT13138";"2018-03-14";"2018-03-21";
"1423000150";"114648";"Estoque";"Equipamento Usado - em bom estado";"LG";"20EN33SSA";"";"Monitor";"estoque@callink.com.br";"403SPED0Z652";"2018-03-14";"2018-03-14";
"1423000151";"131498";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG720064G";"2018-03-14";"2018-03-14";
"1423000153";"131694";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"B1940W";"";"Monitor";"";"0274HQAC506438K";"2018-03-14";"2018-03-14";
"1423000154";"125880";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG64200GJ";"2018-03-14";"2018-03-21";
"1423000155";"131691";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"BX1940";"";"Monitor";"";"0305HQAC600232V";"2018-03-14";"2018-03-14";
"1423000156";"131690";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"BX1940";"";"Monitor";"";"0305HQAC600140M";"2018-03-14";"2018-03-14";
"1423000476";"124422";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC60200X9";"2018-03-22";"2018-03-22";
"1423000477";"124602";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC60400SX";"2018-03-22";"2018-03-22";
"1423000478";"124597";"Production";"Equipamento Usado - em bom estado";"HP";"V203HZ";"";"Monitor";"";"BRC60200D4";"2018-03-22";"2018-03-22";
"1423000479";"124480";"Estoque";"Equipamento Novo";"HP";"V203HZ";"EQUIPAMENTO NOVO";"Monitor";"";"";"2018-03-22";"2018-03-22";""
"1423000480";"124434";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC602001Z";"2018-03-22";"2018-03-22";
"1423000553";"124482";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC602016H";"2018-03-24";"2018-03-24";
"1423000554";"131717";"Estoque";"Equipamento Novo";"HP";"V225HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRG617079R";"2018-03-24";"2018-03-24";
"1423000555";"124643";"Estoque";"Equipamento Usado - em bom estado";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC602002B";"2018-03-24";"2018-03-24";
"1423000556";"124612";"Estoque";"Equipamento Usado - em bom estado";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC6040141";"2018-03-24";"2018-03-24";
"1423000557";"124470";"Estoque";"Equipamento Usado - em bom estado";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC60200X3";"2018-03-24";"2018-03-24";
"1423000558";"124356";"Estoque";"Equipamento Usado - em bom estado";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC60200ZN";"2018-03-24";"2018-03-24";
"1423000560";"124347";"Estoque";"Equipamento Usado - em bom estado";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC60200YT";"2018-03-24";"2018-03-24";
"1423000561";"130946";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG61706D7";"2018-03-24";"2018-03-24";
"1423000562";"130954";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG6170600";"2018-03-24";"2018-03-24";
"1423000563";"130953";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG61705P5";"2018-03-24";"2018-03-24";
"1423000565";"130947";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG6170603";"2018-03-24";"2018-03-24";
"1423000566";"130948";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG61706DF";"2018-03-24";"2018-03-24";
"1423000567";"130949";"Production";"Equipamento Usado - em bom estado";"HP";"V225HZ";"";"Monitor";"";"BRG617079Z";"2018-03-24";"2018-03-24";
"1423000568";"124661";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC604008W";"2018-03-24";"2018-03-24";
"1423000569";"124659";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC604006X";"2018-03-24";"2018-03-24";
"1423000570";"124745";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC60400DY";"2018-03-24";"2018-03-24";
"1423000571";"124742";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC60400K9";"2018-03-24";"2018-03-24";
"1423000572";"124507";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC602016L";"2018-03-24";"2018-03-24";
"1423000573";"130957";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC60200TX";"2018-03-24";"2018-03-24";
"1423000574";"124756";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC6040188";"2018-03-24";"2018-03-24";
"1423000575";"124737";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC604006Y";"2018-03-24";"2018-03-24";
"1423000576";"124747";"Estoque";"Equipamento Novo";"HP";"V203HZ";"TEMPO SERVIÇOS";"Monitor";"estoque@callink.com.br";"BRC60400JW";"2018-03-24";"2018-03-24";
