"Number";"Name";"Deployment State";"Incident State";"Vendor";"Model";"Description";"Type";"Owner";"SerialNumber";"OperatingSystem";"GraphicAdapter";"OtherEquipment";"WarrantyExpirationDate";"InstallDate";"Note"
"14295000044";"121022";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"";"";"";;"2018-02-23";"2018-02-14";
"14295000045";"114678";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 600 G1";"";"Desktop";"estoque@callink.com.br";"BRJ4208CMB";"";"";;"2018-02-23";"2018-02-14";
"14295000046";"121024";"Production";"Equipamento Usado - em bom estado";"HP";"800G1";"";"Desktop";"";"BRJ43749V7";"";"";;"2018-02-23";"2018-02-14";
"14295000047";"130935";"Production";"Equipamento Usado - em bom estado";"HP";"HP 402 G1";"";"Desktop";"";"S/N";"";"";;"2018-02-23";"2018-02-14";
"14295000048";"110614";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 3410";"";"Desktop";"estoque@callink.com.br";"BRG239F61X";"";"";;"2018-02-23";"2018-02-14";
"14295000049";"110607";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 3410";"";"Desktop";"estoque@callink.com.br";"BRG239F5ZX";"";"";;"2018-02-23";"2018-02-14";
"14295000050";"130936";"Production";"Equipamento Usado - em bom estado";"LENOVO";"M93P";"";"Desktop";"";"1S10A8A1FWBPPE022WLS";"";"";;"2018-02-23";"2018-02-14";
"14295000051";"130937";"Estoque";"Equipamento Usado - em bom estado";"HP";"HP 800 G1";"";"Desktop";"estoque@callink.com.br";"S/N";"";"";;"2018-02-23";"2018-02-14";
"14295000052";"130938";"Production";"Equipamento Usado - em bom estado";"HP";"HP 402 G1";"";"Desktop";"";"BRJ508LZ7B";"";"";;"2018-02-23";"2018-02-14";
"14295000053";"111839";"Production";"Equipamento Usado - em bom estado";"HP";"HP 8100";"";"Desktop";"";"S/N";"";"";;"2018-02-23";"2018-02-14";
"14295000054";"127700";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD.";"Desktop";"estoque@callink.com.br";"BRJ62157D0";"";"";;"2018-03-21";"2018-03-21";
"14295000055";"123638";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO -RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157XM";"";"";;"2018-03-21";"2018-03-21";
"14295000056";"123850";"Maintenance";"Equipamento Usado - em bom estado";"AVAYA";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO -RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156TX";"";"";;"2018-03-21";"2018-03-21";
"14295000057";"127742";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156T2";"";"";;"2018-03-21";"2018-03-21";
"14295000058";"131683";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157NF";"";"";;"2018-03-21";"2018-03-21";
"14295000059";"131681";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 /i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157HX";"";"";;"2018-03-21";"2018-03-21";
"14295000060";"127707";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO- RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157XL";"";"";;"2018-03-21";"2018-03-21";
"14295000061";"131680";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156WM";"";"";;"2018-03-21";"2018-03-21";
"14295000062";"131679";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157VB";"";"";;"2018-03-21";"2018-03-21";
"14295000063";"127731";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ621578Q";"";"";;"2018-03-21";"2018-03-21";
"14295000064";"127711";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157JV";"";"";;"2018-03-21";"2018-03-21";
"14295000065";"127663";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157KQ";"";"";;"2018-03-21";"2018-03-21";
"14295000066";"123830";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156XT";"";"";;"2018-03-21";"2018-03-21";
"14295000067";"123779";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157M2";"";"";;"2018-03-21";"2018-03-21";
"14295000068";"123909";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157F8";"";"";;"2018-03-21";"2018-03-21";
"14295000069";"127732";"Production";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"";"Desktop";"";"BRJ62157VS";"";"";;"2018-03-21";"2018-03-21";
"14295000070";"123641";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156YZ";"";"";;"2018-03-21";"2018-03-21";
"14295000071";"127763";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156QK";"";"";;"2018-03-21";"2018-03-21";
"14295000072";"127648";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157GN";"";"";;"2018-03-21";"2018-03-21";
"14295000073";"131662";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157ND";"";"";;"2018-03-21";"2018-03-21";
"14295000074";"123807";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156Z6";"";"";;"2018-03-21";"2018-03-21";
"14295000075";"123835";"Production";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"";"Desktop";"";"BRJ62156Z5";"";"";;"2018-03-21";"2018-03-21";
"14295000076";"123820";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ621573B";"";"";;"2018-03-21";"2018-03-21";
"14295000077";"127626";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO-RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157X5";"";"";;"2018-03-21";"2018-03-21";
"14295000078";"127630";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ621573C";"";"";;"2018-03-21";"2018-03-21";
"14295000079";"123811";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ6215741";"";"";;"2018-03-21";"2018-03-21";
"14295000080";"123625";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ6215731";"";"";;"2018-03-21";"2018-03-21";
"14295000081";"127746";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157VG";"";"";;"2018-03-21";"2018-03-21";
"14295000082";"123837";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156V1";"";"";;"2018-03-21";"2018-03-21";
"14295000083";"123880";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156Q7";"";"";;"2018-03-21";"2018-03-21";
"14295000084";"123958";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157QD";"";"";;"2018-03-21";"2018-03-21";
"14295000085";"127730";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157CB";"";"";;"2018-03-21";"2018-03-21";
"14295000086";"123809";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156RW";"";"";;"2018-03-21";"2018-03-21";
"14295000087";"131678";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ621573L";"";"";;"2018-03-21";"2018-03-21";
"14295000088";"127651";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ621573X";"";"";;"2018-03-21";"2018-03-21";
"14295000089";"131677";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156Y9";"";"";;"2018-03-21";"2018-03-21";
"14295000090";"131663";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156YG";"";"";;"2018-03-21";"2018-03-21";
"14295000091";"123782";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157MQ";"";"";;"2018-03-21";"2018-03-21";
"14295000092";"123903";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO -RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157JB";"";"";;"2018-03-21";"2018-03-21";
"14295000093";"123818";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157RR";"";"";;"2018-03-21";"2018-03-21";
"14295000094";"123899";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157QV";"";"";;"2018-03-21";"2018-03-21";
"14295000095";"123635";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ6215796";"";"";;"2018-03-21";"2018-03-21";
"14295000096";"123916";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157QR";"";"";;"2018-03-21";"2018-03-21";
"14295000097";"123621";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156TY";"";"";;"2018-03-21";"2018-03-21";
"14295000098";"127644";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156Z3";"";"";;"2018-03-21";"2018-03-21";
"14295000099";"127657";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO -  RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156WC";"";"";;"2018-03-21";"2018-03-21";
"14295000100";"123833";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157H6";"";"";;"2018-03-21";"2018-03-21";
"14295000101";"127724";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157VL";"";"";;"2018-03-21";"2018-03-21";
"14295000102";"123865";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157FB";"";"";;"2018-03-21";"2018-03-21";
"14295000103";"123806";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ621578C";"";"";;"2018-03-21";"2018-03-21";
"14295000104";"127661";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157JF";"";"";;"2018-03-21";"2018-03-21";
"14295000105";"123766";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157H5";"";"";;"2018-03-21";"2018-03-21";
"14295000106";"123852";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156Y5";"";"";;"2018-03-21";"2018-03-21";
"14295000107";"131664";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156SZ";"";"";;"2018-03-21";"2018-03-21";
"14295000108";"127627";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156TT";"";"";;"2018-03-21";"2018-03-21";
"14295000109";"123838";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157G0";"";"";;"2018-03-21";"2018-03-21";
"14295000110";"127692";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157LK";"";"";;"2018-03-21";"2018-03-21";
"14295000111";"127713";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62156Y1";"";"";;"2018-03-21";"2018-03-21";
"14295000112";"123774";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ621573T";"";"";;"2018-03-21";"2018-03-21";
"14295000113";"123819";"Production";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"";"Desktop";"";"BRJ62156RX";"";"";;"2018-03-21";"2018-03-21";
"14295000114";"127747";"Maintenance";"Equipamento Usado - em bom estado";"HP";"800 G1 / i5";"EQUIPAMENTO USADO EM BOM ESTADO - RETORNOU DA TEMPO SERVIÇOS SEM HD";"Desktop";"estoque@callink.com.br";"BRJ62157F7";"";"";;"2018-03-21";"2018-03-21";
